id,bytes,anonymous,activityFactor,notMinor,uniquePages,comments,activity.factor.original,presenceFactor,frequencyFactor,regularityFactor,totalUsers,trust,Weight_activityFactor,Weight_anonymous,Weight_bytes,Weight_comments,Weight_frequencyFactor,Weight_notMinor,Weight_regularityFactor,Weight_presenceFactor,Weight_uniquePages,barnstar
1,407,0,2,0,2,1,4.06018361449564e-08,0.886192025395062,0.0096530090882615,0.00483091787439614,1947156,0.225168998239889,4,9,2,6,6,8,4,4,2,0
2,247,0,3,0.333333333333333,3,1,6.09027542174345e-08,0.868442535258442,0.014775450293676,0.00985221674876847,1947156,0.22326756580091,4,9,2,6,6,8,4,4,2,0
3,6475,0,29,1,29,1,5.88726624101867e-07,0.866413325921835,0.143163870611911,0.00495049504950495,1947156,0.253632070077469,4,9,2,6,6,8,4,4,2,0
4,-2374,0,7,0.142857142857143,2,0.142857142857143,1.42106426507347e-07,0.860636350078364,0.0347887570169047,0.00995024875621891,1947156,0.226343874489479,4,9,2,6,6,8,4,4,2,0
5,446,1,1,0,1,0,2.03009180724782e-08,0.859939437150934,0.00497385007915502,0.00497512437810945,1947156,0.217472107977279,4,9,2,6,6,8,4,4,2,0
6,-766182,0,4271,0.0957621166003278,1845,0.57761648325919,8.67052210875543e-05,0.867081146561674,1,0.0940594059405941,1947156,0.490306814430839,4,9,2,6,6,8,4,4,2,0
7,50121,1,250,0,97,0.108,5.07522951811954e-06,0.857395894981522,1,0.03,1947156,0.47185024255276,4,9,2,6,6,8,4,4,2,0
8,3555,1,35,0,18,0.4,7.10532132536736e-07,0.861671116378533,0.17373489892888,0.0447761194029851,1947156,0.270045711310633,4,9,2,6,6,8,4,4,2,0
9,70651,0,302,0.16887417218543,153,0.367549668874172,6.13087725788841e-06,0.854283335389485,1,0.150753768844221,1947156,0.501260808777741,4,9,2,6,6,8,4,4,2,0
10,-2505,1,43,0,35,0.116279069767442,8.72939477116562e-07,0.867768495172662,0.211945955675307,0.0198019801980198,1947156,0.274879325996367,4,9,2,6,6,8,4,4,2,0
11,5233,1,10,0,9,0.1,2.03009180724782e-07,0.854706219759801,0.0500430409731163,0.0050251256281407,1947156,0.22744364734256,4,9,2,6,6,8,4,4,2,0
12,13653952,0,55803,0.20294607816784,34164,0.617870006988872,0.0011328521311985,0.854939738585318,1,0.618090452261308,1947156,0.618540760744456,4,9,2,6,6,8,4,4,2,0
13,615633,0,2443,0.640196479738027,1224,0.684404420794106,4.95951428510642e-05,0.861770276029902,1,0.557213930348258,1947156,0.604758450380253,4,9,2,6,6,8,4,4,2,0
14,-1012,1,1,0,1,0,2.03009180724782e-08,0.852698530135189,0.0050160867954863,0.0050251256281407,1947156,0.215684940714934,4,9,2,6,6,8,4,4,2,0
15,17505,1,44,0,17,0.204545454545455,8.9324039518904e-07,0.867779873012874,0.216872087846917,0.0198019801980198,1947156,0.276113708574552,4,9,2,6,6,8,4,4,2,0
16,3067768,0,19518,0.0949892407008915,11311,0.223486012911159,0.000396233318938629,0.863042828464476,1,0.0796019900497512,1947156,0.485760262958292,4,9,2,6,6,8,4,4,2,0
17,5,1,1,0,1,0,2.03009180724782e-08,0.849854664139078,0.00503287211099161,0.00505050505050505,1947156,0.214984515400373,4,9,2,6,6,8,4,4,2,0
18,629501,0,1958,0.371807967313585,1402,0.684371807967314,3.97491975859123e-05,0.863075808524589,1,0.169154228855721,1947156,0.508067446644474,4,9,2,6,6,8,4,4,2,0
19,984,1,7,0,5,0.857142857142857,1.42106426507347e-07,0.843562028735675,0.0354929072704546,0.0253807106598985,1947156,0.226108947193114,4,9,2,6,6,8,4,4,2,0
20,104,1,6,0,3,0,1.21805508434869e-07,0.843244563066464,0.0304339454403662,0.0050761421319797,1947156,0.21968869311108,4,9,2,6,6,8,4,4,2,0
